Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Hall of Fame (feat. will.i.am),NRJ Hits 17,The Script,1/1/2012,GBARL1201055,"2,465",28.7,"1,438,795,892","180,669","67,730,386",78.0,"1,122,719,476","8,456,502","2,359,429","309,258,236","2,876,399,321","287,622,166",71.0,"110,229",25,46.0,"287,678",9.0,,,,"12,730,727",,0
Slow Dancing,Layover - EP,V,9/8/2023,USA2P2339031,"3,148",24.6,"371,463,000","9,688","17,934,921",77.0,"55,364,757","2,775,274","2,388","846,113","4,288,273","166,972,687",9.0,"2,630",14,10.0,"283,130",1.0,"2,178,688",414,,"299,318",,0
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,"426,700,979","34,044","152,928,632",86.0,"35,724,356","437,980","1,470,500","485,200,392","6,518,604,175","1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,"13,860,535","36,282",,"2,100,708",,1
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,"3,107,100,349","451,732","134,793,519",78.0,"1,256,973,582","14,661,425","7,485,966","2,246,991,336","23,712,377,029","4,327,058,646",513.0,"1,510,151","4,096",166.0,"5,783,693",128.0,"196,783,487","124,922","36,341,585",,,1
Deixa,Deixa,Maria Marï¿½ï,3/21/2023,BRMKP2300072,"2,467",28.7,"64,736,609","4,611","7,326,714",67.0,"254,836,186","1,434,198","65,367","3,439,863","67,989,343","232,438,870",7.0,16,,25.0,"1,000,880",4.0,,,,,,0
Anabella,Anabella,Khaid,7/14/2023,US23A1566792,536,66.3,"14,645,123","2,424","586,834",52.0,"28,065,515","194,782","3,325,481","18,297,800","222,489,625","55,637,507",6.0,"1,101",,,,,"57,777",,,"982,458",,1
God of Music,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',SEVENTEEN,10/23/2023,USA2P2345251,"4,417",19.9,"64,530,857","5,436","6,224,831",,"68,842,793","1,133,609","7,921","35,053,106","148,059,935","563,214,967",9.0,"1,597",7,7.0,"248,186",24.0,"146,890",105,,"136,977",,0
Savage (feat. Beyoncï¿½ï¿½) - R,Savage (feat. Beyoncï¿½ï¿½) [Re,Megan Thee Stallion,4/29/2020,QMCE32000145,528,66.8,"428,986,855","49,403","19,102,863",57.0,"179,237,329","1,934,526","11,268,723","807,114,884","7,823,796,917","15,380,362",151.0,"162,045",82,60.0,"136,408",8.0,"86,651,635","74,696",,"2,104,217",,1
quï¿½ï¿½ le pasa conm,quï¿½ï¿½ le pasa conm,Nicki Nicole,4/19/2023,UYB282300006,"4,516",19.6,"162,085,685","20,886","8,177,728",71.0,"56,665,071","360,527",,,,"1,025,505",16.0,"10,487",104,15.0,"67,649",21.0,"269,501",,,"175,082",,0
Stay,Unapologetic (Edited Version),Rihanna,1/1/2012,USUM71214754,"1,607",36.6,"1,313,274,600","140,970","62,521,370",69.0,"1,350,480,491","6,778,043",,"79,123","721,480","1,295,585,023",149.0,"13,812",,61.0,"1,002,488",49.0,"932,950,848","813,511",,,,0
Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,USA2P2330068,298,88.4,"547,471,596","48,103","22,977,059",77.0,"202,977,396","2,705,714","1,201,620","210,186,679","1,998,080,214","776,229,988",56.0,"23,381",258,22.0,"671,053",58.0,"1,428,951","6,871","2,172,977","528,849",,0
Shooting Star,Kep1going On,Kep1er,6/3/2024,KRA492400678,253,97.3,"1,534,062",193,"3,187,862",,"28,023,956","185,464",,,,,5.0,45,,,,18.0,669,2,,"8,916",,0
La Bicicleta,La Bicicleta,Carlos Vives,5/27/2016,USSD11600112,"1,802",34.3,"697,574,595","60,309","20,351,309",69.0,"1,691,997,312","4,789,339","417,978","54,674,912","945,038,658","343,201,999",86.0,"18,701",44,63.0,"407,197",65.0,"57,536,813","92,844",,"4,026,835",,0
Un Ratito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214879,"1,990",32.3,"500,671,737","57,541","10,245,525",70.0,"204,437,602","1,398,859","17,700","8,267,001","66,367,676","20,223,201",12.0,"2,271",,1.0,"171,943",1.0,"29,494,305","3,482",,"796,992",,0
WUSYANAME,CALL ME IF YOU GET LOST,"Tyler, The Creator",6/25/2021,USQX92102132,"3,146",24.6,"331,749,982","109,121","14,228,243",68.0,"38,053,954","997,774",48,"7,903","93,000","11,685,109",47.0,"15,960",,12.0,"134,768",15.0,"2,618,696","3,789",,"448,025",,1
Love Story,Love Story,Disco Lines,9/22/2020,USUG12003755,"4,224",20.5,"18,566,967","7,400","851,076",40.0,"1,349,513","12,007","4,189,200","555,006,842","4,579,547,361",144,3.0,"1,230",,1.0,"1,331",,"695,957",653,,"86,559",,0
I Wanna Be Yours,AM,Arctic Monkeys,1/1/2013,GBCEL1300373,"3,597",22.6,"2,185,240,293","277,753","129,062,801",86.0,"109,538,379","1,268,458","2,636","16,502,076","105,020,737",,39.0,"2,746",,36.0,"2,608,421",35.0,"38,918,532","20,659",,"4,280,207",,0
Close,Close - Single,Kush & TJ,9/14/2023,QZTAX2379776,543,65.9,,,,,,,,,,,,,,,,,,,,"33,097,904",,0
Dame Tu Cosita,Dame Tu Cosita,El Chombo,4/23/2018,TCADP1859309,291,90.1,,273,"54,198",,"5,004,189,392","20,218,394",,,,"229,315,984",,,,,,,,,,,,0
Mi Niï¿½,Mi Niï¿½,Wisin,9/23/2020,QMBZ92014731,"4,234",20.5,"400,985,699","62,355","13,993,469",60.0,"251,851,094","1,816,301",,,,"12,732,039",58.0,"24,906",46,18.0,"148,048",16.0,"12,216,631","2,063",,"985,993",,0
Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,10/30/2020,GBUM72005075,"1,679",35.6,"726,266,033","118,990","41,567,899",64.0,"133,061,832","962,971","34,842","6,649,392","68,206,557","54,524,699",209.0,"244,063",40,73.0,"1,460,488",11.0,"29,623,365","3,167",,"3,651,154",,0
SkeeYee,Hood Hottest Princess,Sexyy Red,6/9/2023,QZQAY2395569,"1,510",37.8,"96,289,114","24,566","8,733,511",67.0,"33,861,736","296,191","522,400","159,504,238","1,094,402,576","102,011,912",21.0,"6,030",884,2.0,"11,894",34.0,"5,800,021","21,418","5,779,008","614,711",,1
El Paso del Gigante,Los Reyes de los Sonidos,Grupo Soï¿½ï¿½,11/24/2023,QZW9L2351948,"2,444",28.8,"25,684",1,1,,,,,,,,,,,,,,"73,951,432","83,085",,,,0
UK Rap,Split Decision,Dave,6/4/2023,GBUM72305710,"2,882",26.0,"107,742,416","42,998","15,708,278",67.0,"11,323,598","134,265",,68,921,"15,202",32.0,"1,310",39,10.0,"367,040",6.0,"167,290",634,,"186,901",,1
Entre las de 20,Entre las de 20,Bizarrap,4/2/2024,UYB282401008,"1,968",32.5,"100,182,006","4,826","49,679,476",78.0,"16,163,441","136,282",,,,,15.0,23,,6.0,"1,265,160",10.0,"48,832",88,,"164,219",,1
Save Your Tears,After Hours,The Weeknd,3/20/2020,USUG12000658,371,79.9,"1,995,511,952","304,456","63,126,296",80.0,"365,257,705","2,699,016","415,050","137,726,738","1,154,403,769",327,285.0,"3,607",321,46.0,"105,227",27.0,"283,725,931","79,728","22,025,427","15,776,388",,1
Without Me,Without Me,Halsey,10/4/2018,USUM71813499,200,107.4,"2,042,792,456","198,888","69,311,277",75.0,"2,018,089,906","20,528,541","3,897,257","208,270,183","2,216,715,741","2,352,917,415",180.0,"320,792",300,69.0,"646,681",89.0,"562,568,504","360,183","24,711,739","14,816,076",,1
LA FALDA,LA FALDA - Single,Myke Towers,11/22/2023,USWL12302952,416,75.3,"367,399,860","29,235","106,808,249",82.0,"104,584,293","726,526",,"1,146","14,800","1,109,634,551",57.0,"42,471",593,54.0,"6,789,731",30.0,"2,176,876","1,851","1,095,337","1,040,348",,1
Tourniquet,Zach Bryan,Zach Bryan,8/25/2023,USWB12304904,"3,084",24.9,"159,880,836","20,120","7,919,073",74.0,"4,864,924","23,934","82,613","6,973,184","53,019,644",,15.0,40,,1.0,"2,842",22.0,"14,614,123","5,082","1,745,565","100,217",,1
Relax My Eyes,Relax My Eyes,ANOTR,11/4/2022,GBKQU2296427,"1,671",35.7,"149,095,636","85,011","24,383,123",73.0,"21,554,535","197,879","21,611","8,785,047","120,828,235","2,887,284",33.0,"8,153",7,22.0,"100,603",11.0,"255,427",880,"4,210,059",,,0
Cake By The Ocean - Cover,Tik Toker Party Hits,MUSIC LAB JPN,10/5/2023,TCJPX2358241,"1,753",34.8,"1,619,109,147",,,,,,,,,,,,,,,,,,,,,1
ETA,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,USA2P2330071,"1,038",47.1,"234,215,735","20,419","7,910,753",74.0,"189,170,317","1,734,442","98,128","38,199,952","297,802,502","537,474,239",24.0,"2,619",21,2.0,"18,940",4.0,"696,801",973,"1,352,255","248,138",,0
The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,1/1/2000,USIR10000448,"2,796",26.5,"1,798,020,679","352,947","75,283,550",81.0,"961,666,231","7,927,293","74,682","86,740,640","771,015,965","568,968,886",93.0,"70,311",82,68.0,"2,765,272",46.0,"508,575,450","1,263,577","1,131,521","6,637,985",,1
Maniac,Maniac,Conan Gray,10/25/2019,USUM71920712,"3,653",22.4,"845,222,205","109,624","33,327,204",71.0,"108,306,968","2,342,473","196,948","49,175,319","316,355,255","21,240,769",58.0,"30,836",125,17.0,"25,809",8.0,"22,570,411","35,458",,"1,531,126",,0
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,7/1/2019,USUG11903494,"1,231",42.7,"503,584,339","126,610","15,066,503",72.0,"125,086,953","1,299,743","204,105","22,035,785","126,546,185","5,351,849",14.0,9,,5.0,"64,314",2.0,"15,467,818","30,501","94,025,613","1,953,038",,1
God Damn,Ek Tha Raja,Badshah,3/18/2024,INUM72400156,"3,651",22.4,"34,233,316","1,547","5,202,586",70.0,"32,452,229","499,855",,,,"19,904,542",9.0,216,,2.0,796,13.0,"7,187",13,,"66,159",,0
2002,Speak Your Mind,Anne-Marie,1/1/2015,GBAHS1800094,"3,160",24.5,"1,531,490,541","115,663","31,287,443",73.0,"391,667,255","3,102,373","3,435,149","75,681,966","892,595,513",,93.0,"64,453",104,43.0,"424,600",39.0,"47,969,112","52,873",,"5,500,764",,0
Te Ire A Buscar,Te Ire a Buscar,Santa Fe Klan,6/18/2019,USHM21919246,"4,106",21.0,"305,231,016","27,465","4,259,174",66.0,"647,042,101","3,851,962","63,528","12,891,074","130,611,371","2,652,958",10.0,20,,8.0,"160,804",7.0,"13,218,062","4,082",,"667,427",,0
La Playa,La Playa,Myke Towers,4/9/2019,QM6MZ1924281,"3,290",23.9,"322,757,243","60,278","9,152,097",62.0,"640,816,810","3,577,858","191,433","28,268,064","215,995,105","4,594,525",26.0,"1,370",27,5.0,"23,543",16.0,"18,991,444","10,517",,"833,830",,1
What He'll Never Have,Livin' My Best Life (Still),Dylan Scott,3/29/2024,USCRB2400015,"3,108",24.8,"33,733,960","3,360","11,594,667",,"3,422,164","40,432",,,,,6.0,112,82,,,10.0,"14,820,861",828,"461,802","87,319",,0
Jumbotron Shit Poppin,Her Loss,Drake,11/4/2022,USUG12208610,"2,635",27.4,"126,296,463","44,782","4,407,877",62.0,"37,702,345","528,716","23,780","8,679,451","70,817,893","146,398,901",22.0,841,,1.0,891,,"5,094,223","3,119","9,731,011","588,261",,1
Toosie Slide,Toosie Slide,Drake,4/3/2020,USUG12001281,505,68.7,"1,059,262,917","200,623","36,388,485",64.0,"507,137,305","5,604,031","3,039,186","404,119,328","3,734,881,670","352,518,335",146.0,"185,567",31,79.0,"1,163,129",30.0,"122,896,641","156,657",,"5,308,249",,1
Malas Decisiones,K23,Kenia OS,10/27/2022,MXF012200331,"2,246",30.2,"249,199,925","15,573","11,736,236",68.0,"141,829,637","1,346,158","1,093,900","310,175,951","3,326,289,021","35,896,326",21.0,"7,079",479,15.0,"100,850",4.0,"167,084",654,,"576,456",,0
Wishing Well,Legends Never Die,Juice WRLD,7/10/2020,USUG12001905,583,63.1,"901,486,450","157,381","25,837,638",71.0,"419,337,114","4,349,040","491,431","53,221,207","482,804,184","19,920,776",30.0,"22,361",23,36.0,"101,369",15.0,"58,369,856","96,691","64,831,833","1,303,125",,1
Natural,Natural,Imagine Dragons,7/17/2018,USUM71806694,674,58.8,"1,228,556,153","154,255","36,941,962",75.0,"1,220,581,919","10,953,316","1,207,638","29,172,920","396,994,100","186,180,888",72.0,"157,544",175,45.0,"494,642",67.0,"269,729,654","148,539","1,145,378","10,463,981",,0
Holanda,Holanda,Jhayco,7/28/2023,USUM72310520,651,59.5,"320,174,752","51,073","31,619,869",73.0,"104,188,558","465,006","278,104","136,034,375","1,510,621,389","30,755,464",48.0,"29,430",9,22.0,"534,709",30.0,"697,732",897,,"597,203",,1
Handle On You,Handle On You,Parker McCollum,8/5/2022,USUM72211050,"3,439",23.3,"103,858,433","17,543","4,890,850",63.0,"23,571,548","127,913","5,710","2,180,810","32,959,012","349,600",18.0,"203,279",31,2.0,"87,391",16.0,"35,876,540","3,647",,"481,957",,0
Never Gonna Give You Up (2022 - Remaster),Whenever You Need Somebody (Deluxe Edition - 2022 Remaster),Rick Astley,5/20/2022,GB5KW2103369,"3,199",24.4,"839,345,554",295,"20,447",23.0,,,,,,,13.0,,,1.0,2,,"51,964,993","284,214",,,,0
Ya No Tiene Novio,Ya No Tiene Novio,Sebastian Yatra,8/10/2018,USUM71809940,"2,834",26.3,"431,529,832","32,115","14,298,721",63.0,"1,077,954,732","4,083,486","73,016","6,785,915","43,241,693","126,637,973",31.0,"7,839",85,34.0,"69,942",14.0,"10,867,630","2,835",,"945,157",,0
Memory Reboot,Memory Reboot,Vï¿½,1/13/2023,QM4TW2307105,679,58.6,"168,087,455","33,442","16,618,553",71.0,"139,656,144","2,054,412","2,629,100","156,998,611","1,559,678,788","45,767,047",,6,,7.0,"278,942",,,,,"1,425,007",,0
HIND'S HALL,HIND'S HALL,Macklemore,5/10/2024,ZZOPM2445925,"3,589",22.7,"22,463,244","2,291","2,406,268",73.0,"2,237,688","147,286",,"111,800","272,100",,6.0,985,,3.0,"1,686,021",1.0,"98,723",229,,"86,524",,1
Cold Heart (Claptone Remix),Cold Heart (Claptone Remix),Elton John,10/8/2021,GBUM72105701,"4,473",19.7,"39,941,762","16,015","4,618,819",52.0,"347,059,146","2,044,052",,,,"383,593",17.0,"12,216","1,510",7.0,"115,833",,"591,617","1,996",,"613,098",,0
Satellite,Harry's House,Harry Styles,5/20/2022,USSM12200619,"2,373",29.3,"455,718,141","51,605","21,294,785",70.0,"75,741,997","1,437,701","159,300","64,041,346","440,110,491","22,853,340",40.0,"85,417",29,33.0,"1,564,725",3.0,"14,752,886","3,113",,"1,138,012",,0
22,22,JayO,2/22/2023,US39N2300484,"4,079",21.1,"87,001,628","30,898","12,034,538",62.0,"20,680,259","263,409","269,738","68,378,856","566,961,428","506,356",25.0,"4,472",,8.0,"201,337",41.0,"43,448",383,,"845,534",,1
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,GXD7G2413058,101,152.3,"5,157,486",470,"2,924,720",,"1,278,618","27,849","1,100,000","261,000","3,900,000",,3.0,,,2.0,"39,366",,,,,"47,658",,0
Una Foto Remix (feat. Emilia),Una Foto Remix (feat. Emilia),Mesita,1/5/2024,UYS642300003,"1,181",43.7,"206,001,461","15,932","35,397,476",78.0,"45,907,269","307,741",,"998,400","13,500,000",,14.0,"11,512",,26.0,"552,100",21.0,"148,059",331,,"394,118",,0
HP,HP,Maluma,3/1/2019,USSD11900034,"1,997",32.3,"614,313,540","55,782","18,750,996",64.0,"978,997,170","4,042,367","55,400","6,033,109","48,469,382","214,374,413",59.0,"10,446",125,42.0,"318,901",31.0,"97,555,044","19,082",,"1,887,065",,1
Pulsar Bike,Dhamaka (Original Motion Picture Soundtrack) - EP,Bheems Ceciroleo,1/7/2023,IND292208377,"3,844",21.8,"39,057,770","1,308","893,063",27.0,"252,467,125","974,051",,,,,,,,,,7.0,,,,"16,986",,0
Chillax,Visionary,Farruko,10/23/2015,USSD11500378,"4,148",20.8,"366,268,077","40,643","11,704,627",63.0,"1,013,772,791","3,053,038","416,000","66,374,357","600,274,227","150,946,913",28.0,"4,484",28,20.0,"180,869",12.0,"115,556,623","30,706",,"2,925,079",,0
Get A Guitar,Get A Guitar,RIIZE,9/4/2023,KRA302300278,"3,485",23.1,"67,887,030","5,721","6,337,730",,"106,807,094","1,208,052","32,698","61,647,208","430,468,374","617,159,135",7.0,"1,289",,3.0,"229,974",10.0,"49,008",152,,"170,700",,0
BILLIE EILISH.,BILLIE EILISH.,Armani White,5/19/2022,SGB502248062,350,82.0,"359,416,593","91,114","29,730,236",64.0,"116,400,996","2,127,918","4,530,098","885,538,360","10,488,403,602","74,794,888",40.0,"169,548","7,064",18.0,"137,293",52.0,"29,260,633","18,576","24,428","3,310,069",,1
Tucson Too Late,Bluebird Days,Jordan Davis,2/17/2023,USUM72222730,"4,288",20.3,"60,355,607","4,814","13,753,161",68.0,"4,562,833","30,406",174,"27,038","458,426","1,708",9.0,"148,522",125,7.0,"1,599,490",20.0,"18,526,781","1,310",,"206,940",,0
Last Night Lonely,Last Night Lonely,Jon Pardi,2/17/2022,USUM72200664,"4,269",20.4,"134,725,621","19,072","2,970,003",65.0,"22,650,713","114,566","3,344","1,325,349","14,258,097","255,579,464",8.0,"193,502",171,4.0,"132,683",18.0,"70,178,744","2,712",,"369,402",,0
Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),YBN Nahmir,1/22/2021,USAT22100132,"2,603",27.7,"246,949,197","80,591","7,682,255",64.0,"62,144,315","935,278","5,645","715,700","4,922,539","101,060,286",19.0,"4,210",,22.0,419,,"4,954,305","6,168","32,395,833","209,692",,1
Kill Em With Kindness,Revival (Deluxe),Selena Gomez,10/9/2015,USUM71513588,"2,290",29.9,"550,049,388","48,598","14,497,820",56.0,"592,341,655","4,553,103","8,126,848","61,193,582","489,745,782","193,313,797",53.0,"14,501",4,24.0,"81,398",11.0,"90,462,900","31,645",,"2,766,042",,0
Close Friends (Lil Baby & Gunna),Drip Harder,Lil Baby,10/4/2018,USUG11801853,"2,267",30.0,"428,009,373","99,524","11,666,867",65.0,"503,301,861","3,383,825","47,897","7,172,209","46,571,795","76,955,731",27.0,"47,467",86,4.0,"26,549",7.0,"193,294,414","159,045",,"2,437,123",,1
I'm the One,EPIC AF,DJ Khaled,1/1/2017,USSM11703300,"2,704",27.1,"1,257,029,279","122,763","29,582,588",67.0,"77,475,141","982,093","475,433","16,501,624","134,170,742","1,488,303",143.0,"42,076",28,72.0,"445,792",44.0,"409,246,415","356,341","6,332,764",,,1
Yo Perreo Sola,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030934,"1,036",47.1,"745,086,450","95,154","29,388,631",67.0,"818,482,247","8,068,018","1,515,908","126,702,212","1,133,216,780","291,194,930",128.0,"24,957",38,35.0,"372,403",53.0,"81,678,830","65,483",,"1,822,325",,0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,"1,653,018,119",1,15,,,,,,,,,,,,,,,,,,,1
ULTRA SOLO REMIX,ULTRA SOLO Remix,Polimï¿½ï¿½ Westc,6/16/2022,CLPP22200027,"1,641",36.1,"340,527,913","50,714","21,161,966",67.0,"317,404,552","2,187,888",149,"1,809","24,715","272,065,605",30.0,"14,281",172,12.0,"1,828,696",37.0,"991,063",650,,"636,074",,0
Funny Song,Funny Song,Bruno Portinho Trilhas para filmes,3/7/2023,SGB502330766,"2,310",29.8,,3,10,2.0,,,"2,200,000","62,055,632","1,572,668,280",,,,,,,,,,,,,0
Feel It,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,d4vd,3/28/2024,USUM72401132,"1,140",44.5,"110,377,644","8,980","78,939,536",,"10,803,398","190,363",,"554,400","4,211,900","21,866,966",41.0,"6,146",44,54.0,"6,402,152",55.0,"658,798",745,,"363,083",,0
Copines,Copines,Aya Nakamura,8/24/2018,FRZ041800793,867,52.1,"381,322,519","70,125","7,759,068",67.0,"793,025,740","7,300,331","9,295,551","769,130,337","8,503,116,899","11,289,899",45.0,"16,672",,29.0,"258,833",7.0,"549,774","2,745",,"5,305,717",,0
Who's Laughing Now,Who's Laughing Now,Ava Max,7/30/2020,USAT22001106,"4,522",19.6,"218,674,366","34,897","3,519,653",57.0,"242,536,989","2,020,435","48,606","6,100,208","72,001,415","16,182,813",37.0,"142,362",,28.0,"861,322",6.0,"12,733,716","5,842",,"2,245,711",,0
The Feels,The Feels,TWICE,10/1/2021,US5TA2100080,"1,346",40.5,"431,638,330","43,727","10,543,105",66.0,"564,641,494","7,674,539","641,703","351,794,036","2,323,894,242","91,545,454",33.0,"10,156",174,7.0,"164,797",37.0,"2,078,193","4,119",,"910,474",,0
Hot N Cold,NOW 29,Katy Perry,1/1/2008,USCA20802544,"2,998",25.4,"886,077,008","154,757","77,671,100",69.0,"1,332,106,664","6,819,005","1,577,918","214,177,361","2,238,389,974","1,586,859,597",80.0,"221,043",248,55.0,"533,088",17.0,"323,997,472","217,322",,"6,740,918",,0
MANIAC,The 4th Mini Album 'VERSUS',VIVIZ,11/2/2023,KRA382321414,"2,718",27.0,"77,590,300","6,575","6,127,218",,"94,172,195","738,147","3,247","22,942,690","170,046,435","572,720,093",7.0,,,1.0,"151,363",,,,,"168,452",,0
